,Column1,Column2,Column3
0,unknownminutes,Dansgaming,RT
1,CptLvl,caudlevision,RT
2,jp_jordan,BrianLynch,RT
3,LilPham_,NathanZed,RT
4,BrianLynch,BrianLynch,Tweet
5,WLG_East,WLG_East,Tweet
6,GunmetalMite,mikeyface,RT
7,TashoftheFuture,BrianLynch,RT
8,xellos61,salithtaydan,RT
9,refocusedmedia,BrianLynch,RT
10,BrianLynch,BrianLynch,Tweet
11,zayo60,zayo60,Tweet
12,MattyMondays,MattyMondays,Tweet
13,SkizzleTwittzle,Dansgaming,RT
14,williamcooper16,williamcooper16,Tweet
15,denny1514,denny1514,Tweet
16,gmetzger16,gmetzger16,Tweet
17,1stltrage,Dansgaming,RT
18,WalkinsFrost,Dansgaming,RT
19,William_Dublin,William_Dublin,Tweet
20,bishops_gate88,Dansgaming,RT
21,Nateoooooooo,Nateoooooooo,Tweet
22,kingkongdonk,kingkongdonk,Tweet
23,AyrroGaming,AyrroGaming,Tweet
24,cgm_co,cgm_co,Tweet
25,Dollarluigi,Dollarluigi,Tweet
26,JGs_Anime,JGs_Anime,Tweet
27,meow_meow_soup,meow_meow_soup,Tweet
28,DerplesThePanda,BluZephyr,RT
29,NathanSEGarcia,askagangsta_,RT
30,garlicbug,garlicbug,Tweet
31,spikejonzing,spikejonzing,Tweet
32,Grim_al_kin,Grim_al_kin,Tweet
33,Burribot_32,Burribot_32,Tweet
34,itsabove10stars,itsabove10stars,Tweet
35,egg_official,egg_official,Tweet
36,DynamiteRampage,DynamiteRampage,Tweet
37,max_smith,max_smith,Tweet
38,dragon_slumber,dragon_slumber,Tweet
39,ps3spill,Dansgaming,RT
40,ELumiukko,Dansgaming,RT
41,CJensen1999,CJensen1999,Tweet
42,Bethanyy_Mariee,Bethanyy_Mariee,Tweet
43,derekeb,thatswattsup,RT
44,Rassputin123,BeccaLipman,RT
45,MLJowitt,Dansgaming,RT
46,Truegam3r,Truegam3r,Tweet
47,GLTheGameMaster,Dansgaming,RT
48,anonchileno,anonchileno,Tweet
49,icrys1s,Dansgaming,RT
50,funnyclone,funnyclone,Tweet
51,superbananaman3,superbananaman3,Tweet
52,theorousseau51,GiveMeInternet,RT
53,Gabysaurus,Gabysaurus,Tweet
54,GingerTownUSA,GingerTownUSA,Tweet
55,Heady1313,Heady1313,Tweet
56,MasterOfLag,MasterOfLag,Tweet
57,MilesKG21,Dansgaming,RT
58,Azure_Haseo23,Dansgaming,RT
59,BOSSJEDIZOHAN,Dansgaming,RT
60,TewGenGamers,Dansgaming,RT
61,BlackTiger728,Dansgaming,RT
62,TheMcNubbins,Dansgaming,RT
63,messicre_,messicre_,Tweet
64,FusionRecovery,Dansgaming,RT
65,FiftyHydra,FiftyHydra,Tweet
66,Biggy4891,Dansgaming,RT
67,FaZzyTheGod,Dansgaming,RT
68,gintoki_nut,gintoki_nut,Tweet
69,maybejustalot,Dansgaming,RT
70,ethlouis,amazingatheist,RT
71,CristianNXT,CristianNXT,Tweet
72,Dansgaming,Dansgaming,Tweet
73,InfinityOn_Joe,InfinityOn_Joe,Tweet
74,BJamesChandler,BJamesChandler,Tweet
75,thechrisullrich,thechrisullrich,Tweet
76,Seinfelds_List,Seinfelds_List,Tweet
77,natekushner,natekushner,Tweet
78,TheUchihaSage,TheUchihaSage,Tweet
79,PatrickFisk,PatrickFisk,Tweet
80,KFirebore23,KFirebore23,Tweet
81,xXJannneXx,xXJannneXx,Tweet
82,NBWmusic,NBWmusic,Tweet
83,jmarianos,jmarianos,Tweet
84,GrayLifeZone,GrayLifeZone,Tweet
85,ShimohiHikagami,ShimohiHikagami,Tweet
86,venturian55,venturian55,Tweet
87,Diagonchloe,itsDanBull,RT
88,a7xkillera7x,a7xkillera7x,Tweet
89,Quackerkit,Quackerkit,Tweet
