username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ItsDylanPyle;2016-02-01 17:58;0;0;"I liked a @YouTube video from @whiteboy7thst http:// youtu.be/sgXDgghEZOU?a MY REACTION TO FINE BROS ReactWorld (FineBros Reaction Drama)";;@YouTube @whiteboy7thst;;"694308955863044096";https://twitter.com/ItsDylanPyle/status/694308955863044096
xmazingphil;2016-02-01 17:58;0;0;"I'm going to get all my friends together and make a video called teens react to react world";;;;"694308942034374658";https://twitter.com/xmazingphil/status/694308942034374658
stephenfarrel16;2016-02-01 17:58;0;0;"I liked a @YouTube video from @ozzymanreviews http:// youtu.be/5U9mBUcFvo0?a Ozzy Man Reviews: Fine Bros React World";;@YouTube @ozzymanreviews;;"694308929292091392";https://twitter.com/stephenfarrel16/status/694308929292091392
Nicks5231;2016-02-01 17:58;0;2;"@thefinebros I should give React World a try. It sounds like a nice step to change the community. Should I do it?";;@thefinebros;;"694308850539859968";https://twitter.com/Nicks5231/status/694308850539859968
Bethanyy_Mariee;2016-02-01 17:57;0;0;"I wonder how many YouTubers will no longer be in react. I'd be scared to say/do the wrong thing and be sued #ReactWorld";;;#ReactWorld;"694308501078855680";https://twitter.com/Bethanyy_Mariee/status/694308501078855680
NC_Lightning13;2016-02-01 17:56;0;1;"I think I'll go on YouTube now 
*goes to YouTube; Reactworld war all over* 
Or not... Perhaps not.";;;;"694308424771833856";https://twitter.com/NC_Lightning13/status/694308424771833856
hey_arrrrnold;2016-02-01 17:56;0;0;"Excellent explanation of the hot mess that is " React World " | Minisode - React World https:// youtu.be/a49fipjglyc";;;;"694308403477262336";https://twitter.com/hey_arrrrnold/status/694308403477262336
Skipperwing;2016-02-01 17:56;0;0;"I liked a @YouTube video from @foldablehuman http:// youtu.be/a49fipjglyc?a Minisode - React World";;@YouTube @foldablehuman;;"694308352852135936";https://twitter.com/Skipperwing/status/694308352852135936
OniZombies;2016-02-01 17:56;0;0;"LTA: "Update" TheFineBros' React World (Reaction): http:// youtu.be/FjcCw5I9Ejk?a via @YouTube";;@YouTube;;"694308326037938177";https://twitter.com/OniZombies/status/694308326037938177
TentaclesDanger;2016-02-01 17:55;0;0;"Lemme make a React Video to all the Reactions On React World or is that illegal ? XD";;;;"694308221234876416";https://twitter.com/TentaclesDanger/status/694308221234876416
Siggas;2016-02-01 17:55;5;22;"So you want to trademark React right? TODAY DCIGS A black man REACTS to REACT WORLD pic.twitter.com/PpxnrXUgx8";;;;"694308163986698240";https://twitter.com/Siggas/status/694308163986698240
DoodlesMusic;2016-02-01 17:54;0;0;"This Week In Youtube Podcast Episode 01 - Doodles REACTS To The Fine Bros & React World (Audio Only): http:// youtu.be/Ao23nUufM2o?a via";;;;"694307911825108993";https://twitter.com/DoodlesMusic/status/694307911825108993
