,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
0,,852594169,PabloNm810,31,I liked a @YouTube video from @theyoungturks https://t.co/Kkgck6IIoO Why People Are Mad At The Fine Brothers,Sat Sep 29 09:53:31 +0000 2012,False,695757371059146757,13,,571,31,28,0,2,Fri Feb 05 23:54:18 +0000 2016
1,~I'd rather fuel a fantasy than deal with this alone~,1296622860,wildfoolsatease,398,I like the Fine Brothers but this is so funny 😂😂😂 https://t.co/bdPashlmxX,Sun Mar 24 21:05:52 +0000 2013,False,695757329531346946,1674,"North Carolina, USA",14157,398,14998,0,21,Fri Feb 05 23:54:08 +0000 2016
2,"trans girl | Check out this fake girl gamer, bro!",3113590239,NomoreHERO_,151,fine brothers-ception,Wed Mar 25 07:18:13 +0000 2015,False,695756704772796416,91,Gay hell,14933,151,13201,0,2,Fri Feb 05 23:51:39 +0000 2016
3,"YouTuber,Colletor,Superhero and Star Wars Fan Boy",2493539108,PumkinPieAlien,102,I liked a @YouTube video https://t.co/HufKhYV0ft We REACT™ to the Fine Brothers,Tue May 13 21:53:42 +0000 2014,False,695756198885376000,30,"Maryland, USA",1452,102,63,0,1,Fri Feb 05 23:49:38 +0000 2016
4,I draw anthropomorphic vegetables.  Also videos about videogames.  Also my old website https://t.co/hZsyObj3Jc ...also an engineering student.,2735119156,BobbyBroccole,144,Since the Fine Brothers got destroyed can we go back to focusing on how much of an asshole Onision is? https://t.co/evvFcKR1wL,Wed Aug 06 13:43:11 +0000 2014,False,695754618563735552,160,Flopside,2357,144,240,0,1,Fri Feb 05 23:43:22 +0000 2016
5,Patent news.   newleaf(at)sent(.)com,57498810,PatentWire,1984,A Lawyer Explains Why a Recent Attempt to Trademark the Word 'React' Was Bad News - GOOD Magazine (55 visits) https://t.co/JqMXH1cgux,Fri Jul 17 00:41:46 +0000 2009,False,695754305005948928,6755,USA,51826,1984,0,1,233,Fri Feb 05 23:42:07 +0000 2016
6,"carolyn / 16 / boston singer-songwriter, travel enthusiast, film lover, and (failing) youtuber",1167528566,carolynbfahrner,779,I liked a @YouTube video https://t.co/ECGj1Cif74 Reacting to the Fine Brothers and React World!,Mon Feb 11 01:46:14 +0000 2013,False,695754121408860160,274,"Boston, MA",3579,779,2411,0,5,Fri Feb 05 23:41:23 +0000 2016
7,"i am Andrew aka Tangerine wolflion who loves playing minecraft, playing fallout 3, loves to draw, and Etc. and will help by sharing your videos across the world",451897337,TangerineWolfon,864,I liked a @YouTube video https://t.co/G860cZ731r We REACT™ to the Fine Brothers,Sun Jan 01 05:06:00 +0000 2012,False,695752460753883137,359,Texas,9782,864,158,0,4,Fri Feb 05 23:34:47 +0000 2016
8,"CISF❤️  - - - - - One thing about being on the top of the world... it gives you a long, long way to fall",383025568,LuisaCe14,723,“A message from the Fine Brothers” by Fine Brothers Ent. https://t.co/paaPOHk7kK #lovethem,Sat Oct 01 03:58:59 +0000 2011,False,695750121506603008,320,Mystic Falls ,21474,723,1893,0,4,Fri Feb 05 23:25:30 +0000 2016
9,"Avid Gamer, Sports fan, & YouTuber! Cooler than the other side of the pillow.  Check out my channel @ https://t.co/8Es1wJ0Rks",3399134350,NizerGaming,1842,"I liked a @YouTube video from @jimmyfungus https://t.co/9aF2a5hehP INSANE GREED!: The Fine Brothers, Ted Cruz, Hillary Clinton, Harry",Sat Aug 01 18:47:25 +0000 2015,False,695749602650296320,1912,"South Carolina, USA",10179,1842,3184,0,13,Fri Feb 05 23:23:26 +0000 2016
10,INTJ. Smol atypical girl. Leave me alone.,3389983875,GentleFemdom,659,Did you foresee the Fine brothers trying to jew everyon… — I didn't even know who they were before all this. https://t.co/H7Gdx3THhg,Thu Jul 23 22:53:51 +0000 2015,False,695749190325035008,398,NYC,14984,659,16312,0,9,Fri Feb 05 23:21:48 +0000 2016
11,I used to comment on YouTube videos. Now I dick around in calls instead.,3053364808,Glalitite_,276,RT @mulkrut: The Fine Brothers in a couple of weeks xD https://t.co/7uOhCxlTZa,Sun Feb 22 17:48:19 +0000 2015,False,695748991443668992,314,"London, England",19727,276,12210,15,4,Fri Feb 05 23:21:00 +0000 2016
12,,283821253,Littlechibigal,67,RAPPER REACTS TO THE FINE BROTHERS | Dan Bull https://t.co/LRBPjau4wB via @YouTube,Mon Apr 18 02:56:49 +0000 2011,False,695747345644810240,12,,67,67,30,0,0,Fri Feb 05 23:14:28 +0000 2016
