,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
0,"R-Rated. 25, female, gamer, geek and egalitarian. Cardiophile, bibliophile and audiophile. https://t.co/EZQPnSaVnr lurker. I take no sides. Level 32 Hunter.",23787507,unknownminutes,1308,RT @Dansgaming: I was going to stream my Reaction to the Division but I don't want to pay The Fine Brothers to do so,Wed Mar 11 16:37:27 +0000 2009,False,694309228362620928,689,"Detroit, MI",22848,1308,11855,44,28,Mon Feb 01 23:59:54 +0000 2016
1,Working hard.,1239703897,CptLvl,200,"RT @caudlevision: @thefinebros Lol have you been watching your sub counts?
https://t.co/RWMByzVK2r",Sun Mar 03 19:47:31 +0000 2013,False,694309152345165826,74,"Cork, Ireland",130,200,5,173,0,Mon Feb 01 23:59:36 +0000 2016
2,Hal Jordan's less successful brother,324395078,jp_jordan,1325,RT @BrianLynch: And The Fine Brothers are REALLY sorry they have to sue you if you react to something so please don't react to this news be…,Sun Jun 26 14:54:33 +0000 2011,False,694309128961925120,673,Ireland,36945,1325,9479,2,15,Mon Feb 01 23:59:30 +0000 2016
3,¯\_(ツ)_/¯ | illiterate&sad&broke,901131973,LilPham_,317,RT @NathanZed: they're literally losing like 30 subscribers every 5 seconds bruhhhh https://t.co/Tz4DdSMLct,Wed Oct 24 03:51:32 +0000 2012,False,694309044056555521,619,WACKRAMENTO,11347,317,17089,159,2,Mon Feb 01 23:59:10 +0000 2016
4,"Screenwriter: Minions, Puss in Boots, Hop. The Secret Life of Pets is next. Comic Writer: Angel, Spike, Ninja Turtles, Bill & Ted, Monster Motors.",14973377,BrianLynch,1344,And The Fine Brothers are REALLY sorry they have to sue you if you react to something so please don't react to this news because $$$,Sun Jun 01 18:00:34 +0000 2008,False,694308990667259907,20372,California,42768,1344,99,2,1251,Mon Feb 01 23:58:57 +0000 2016
5,"A place for creative, tech, marketing and digital talent. Tweeting industry jobs, tips, news & events on the east coast. We are @WunderLandGroup.",2375597804,WLG_East,905,The Wrong Way to Deal With a PR Fail: 5 Lesson From the Fine Brothers https://t.co/K7rz6xfCyG by @benparr https://t.co/8juHm4HtZc,Thu Mar 06 16:24:36 +0000 2014,False,694308752414081024,658,"NY, NJ, CT, RI, MA and more",2820,905,52,0,129,Mon Feb 01 23:58:00 +0000 2016
6,I scream a lot and excel at being lazy and avoiding tasks that can further improve the status of my life,149011583,GunmetalMite,632,RT @mikeyface: Mega64 reacts to the Fine Brothers trademarking basic english words they shouldn’t have: https://t.co/gajjl0umwa,Fri May 28 05:21:46 +0000 2010,False,694308721996881921,185,Moreno Valley,14487,632,9284,6,4,Mon Feb 01 23:57:53 +0000 2016
7,"A man of many faces, all of them ugly. Ruiner of good things. #CYSJW #Sanity #Nerd #JoJo #YoloSwag",117886401,TashoftheFuture,808,"RT @BrianLynch: Saw someone called Fine Brothers, and they were apologizing for copy-writing ""react"" videos and I'm ready for that meteor n…",Fri Feb 26 23:14:15 +0000 2010,False,694308652061192192,403,Behind You,40212,808,29775,5,5,Mon Feb 01 23:57:36 +0000 2016
8,head of @nightmarenights Convention Operations (Con OPs) also a member of What Came Down Productions,61013875,xellos61,604,RT @salithtaydan: Copyright attorney reacts to The Fine Brothers trademark application on ... https://t.co/rEQijc8th6 #UnSubTheFineBros #Un…,Tue Jul 28 20:44:21 +0000 2009,False,694308647925514240,181,Corinth,3372,604,290,4,3,Mon Feb 01 23:57:35 +0000 2016
9,Film / Photography || esse quam videri,326293048,refocusedmedia,2318,"RT @BrianLynch: Saw someone called Fine Brothers, and they were apologizing for copy-writing ""react"" videos and I'm ready for that meteor n…",Wed Jun 29 17:48:45 +0000 2011,False,694308587426811905,3680,"Texas, DFW - Dallas Fort Worth",51595,2318,24346,5,197,Mon Feb 01 23:57:21 +0000 2016
10,"Screenwriter: Minions, Puss in Boots, Hop. The Secret Life of Pets is next. Comic Writer: Angel, Spike, Ninja Turtles, Bill & Ted, Monster Motors.",14973377,BrianLynch,1344,"Saw someone called Fine Brothers, and they were apologizing for copy-writing ""react"" videos and I'm ready for that meteor now, God.",Sun Jun 01 18:00:34 +0000 2008,False,694308508238368768,20372,California,42768,1344,99,5,1251,Mon Feb 01 23:57:02 +0000 2016
11,"yes i like anime, deal with it. i miss my old home i'll be back georgia. One day I will be the man who saved hip hop from the shit hole its in now",721116216,zayo60,863,I liked a @YouTube video from @itsdanbull https://t.co/IJaGlvnDbv RAPPER REACTS TO THE FINE BROTHERS | Dan Bull,Fri Jul 27 23:54:16 +0000 2012,False,694308508234289152,173,"Dallas,Tx",749,863,3,0,2,Mon Feb 01 23:57:02 +0000 2016
12,https://t.co/nhc1DAUnZa,218611103,MattyMondays,136,@Calfreezy @thefinebros just realised they're called the 'fine' bros cause they'll 'fine' you if you react.,Mon Nov 22 20:10:12 +0000 2010,False,694308450717798400,5731,,38111,136,1285,0,10,Mon Feb 01 23:56:48 +0000 2016
13,1v1 me on LAN bruh,2881495169,SkizzleTwittzle,68,RT @Dansgaming: I was going to stream my Reaction to the Division but I don't want to pay The Fine Brothers to do so,Mon Nov 17 18:50:26 +0000 2014,False,694308376830959616,29,United Kingdom,1198,68,970,44,4,Mon Feb 01 23:56:31 +0000 2016
