,screen_name,retweet_count,created_at,friends_count,date_of_tweet,tweet_id,listed_count,verified,followers_count,user_id,location,description,statuses_count,following,text,favourites_count
0,unknownminutes,44,Wed Mar 11 16:37:27 +0000 2009,1308,Mon Feb 01 23:59:54 +0000 2016,694309228362620928,28,False,688,23787507,"Detroit, MI","R-Rated. 25, female, gamer, geek and egalitarian. Cardiophile, bibliophile and audiophile. https://t.co/EZQPnSaVnr lurker. I take no sides. Level 32 Hunter.",22848,1308,RT @Dansgaming: I was going to stream my Reaction to the Division but I don't want to pay The Fine Brothers to do so,11854
1,CptLvl,173,Sun Mar 03 19:47:31 +0000 2013,200,Mon Feb 01 23:59:36 +0000 2016,694309152345165826,0,False,74,1239703897,"Cork, Ireland",Working hard.,130,200,"RT @caudlevision: @thefinebros Lol have you been watching your sub counts?
https://t.co/RWMByzVK2r",5
2,jp_jordan,2,Sun Jun 26 14:54:33 +0000 2011,1325,Mon Feb 01 23:59:30 +0000 2016,694309128961925120,15,False,673,324395078,Ireland,Hal Jordan's less successful brother,36946,1325,RT @BrianLynch: And The Fine Brothers are REALLY sorry they have to sue you if you react to something so please don't react to this news be…,9479
3,LilPham_,159,Wed Oct 24 03:51:32 +0000 2012,317,Mon Feb 01 23:59:10 +0000 2016,694309044056555521,2,False,619,901131973,WACKRAMENTO,¯\_(ツ)_/¯ | illiterate&sad&broke,11350,317,RT @NathanZed: they're literally losing like 30 subscribers every 5 seconds bruhhhh https://t.co/Tz4DdSMLct,17094
4,BrianLynch,2,Sun Jun 01 18:00:34 +0000 2008,1343,Mon Feb 01 23:58:57 +0000 2016,694308990667259907,1251,False,20373,14973377,California,"Screenwriter: Minions, Puss in Boots, Hop. The Secret Life of Pets is next. Comic Writer: Angel, Spike, Ninja Turtles, Bill & Ted, Monster Motors.",42770,1343,And The Fine Brothers are REALLY sorry they have to sue you if you react to something so please don't react to this news because $$$,99
5,WLG_East,0,Thu Mar 06 16:24:36 +0000 2014,905,Mon Feb 01 23:58:00 +0000 2016,694308752414081024,129,False,658,2375597804,"NY, NJ, CT, RI, MA and more","A place for creative, tech, marketing and digital talent. Tweeting industry jobs, tips, news & events on the east coast. We are @WunderLandGroup.",2821,905,The Wrong Way to Deal With a PR Fail: 5 Lesson From the Fine Brothers https://t.co/K7rz6xfCyG by @benparr https://t.co/8juHm4HtZc,52
6,GunmetalMite,6,Fri May 28 05:21:46 +0000 2010,632,Mon Feb 01 23:57:53 +0000 2016,694308721996881921,4,False,185,149011583,Moreno Valley,I scream a lot and excel at being lazy and avoiding tasks that can further improve the status of my life,14487,632,RT @mikeyface: Mega64 reacts to the Fine Brothers trademarking basic english words they shouldn’t have: https://t.co/gajjl0umwa,9279
7,TashoftheFuture,5,Fri Feb 26 23:14:15 +0000 2010,809,Mon Feb 01 23:57:36 +0000 2016,694308652061192192,5,False,403,117886401,Behind You,"A man of many faces, all of them ugly. Ruiner of good things. #CYSJW #Sanity #Nerd #JoJo #YoloSwag",40214,809,"RT @BrianLynch: Saw someone called Fine Brothers, and they were apologizing for copy-writing ""react"" videos and I'm ready for that meteor n…",29776
8,xellos61,4,Tue Jul 28 20:44:21 +0000 2009,604,Mon Feb 01 23:57:35 +0000 2016,694308647925514240,3,False,181,61013875,Corinth,head of @nightmarenights Convention Operations (Con OPs) also a member of What Came Down Productions,3372,604,RT @salithtaydan: Copyright attorney reacts to The Fine Brothers trademark application on ... https://t.co/rEQijc8th6 #UnSubTheFineBros #Un…,290
9,refocusedmedia,5,Wed Jun 29 17:48:45 +0000 2011,2318,Mon Feb 01 23:57:21 +0000 2016,694308587426811905,197,False,3680,326293048,"Texas, DFW - Dallas Fort Worth",Film / Photography || esse quam videri,51603,2318,"RT @BrianLynch: Saw someone called Fine Brothers, and they were apologizing for copy-writing ""react"" videos and I'm ready for that meteor n…",24348
