,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
0,music under the alias of sord,550436298,linsellsmith,427,"RT @itsDanBull: Regarding the Fine Brothers, this looks pretty damning. Ellen showed some old stuff to kids and Fine Bros did this: https:/…",Tue Apr 10 18:53:41 +0000 2012,False,695033682994790400,596,london,8089,427,3031,1098,2,Wed Feb 03 23:58:37 +0000 2016
1,Personal account for @LocusFOX. I retweet a lot of random stuff… Backup @luke25361_2,2186756408,Luke25361,631,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sun Nov 10 17:18:25 +0000 2013,False,695033514325057536,808,| 17 | UK |,31762,631,0,3443,19,Wed Feb 03 23:57:57 +0000 2016
2,Étudiant en infographie | Music addict | Tie a nøøse arøund your mind løøse enøugh tø breathe fine and tie it tø a tree |-/ Skeletøn Clique,489737977,Shadow_Liberty,373,"FINE BROTHERS ENTERTAINMENT ... I mean, is this the name of a private and friendly Youtube channel ? It screams CORPORATION.",Sat Feb 11 20:52:16 +0000 2012,False,695033432158638080,193,Belgium,7425,373,759,0,3,Wed Feb 03 23:57:37 +0000 2016
3,near Chicago artist animator nerd who tweets garbage.,126759741,Rittsrotts,73,"I just watched ""the fine brothers 3 way"" old youtube video oh my god it was the worst thing ever https://t.co/t3zXzc9hqk please fucking try",Fri Mar 26 22:30:35 +0000 2010,False,695033119397773317,891,thrillinois,4794,73,2855,0,15,Wed Feb 03 23:56:23 +0000 2016
4,Skype - Chrisje4life,2367916826,iChrisii_,189,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sun Mar 02 01:09:43 +0000 2014,False,695032726848724992,64,"Rotterdam, Zuid-Holland",2800,189,88,3443,1,Wed Feb 03 23:54:49 +0000 2016
5,I chose to do comedy instead of going to college. -Bo Burnham,4858188436,GanonForGlory,420,"Whoops, just said ""Don't overREACT"" to my friend and the Fine Brothers deleted my house. #Unsubthefinebros",Thu Jan 28 18:45:35 +0000 2016,False,695032718095179777,193,Hyrule,238,420,78,2,0,Wed Feb 03 23:54:47 +0000 2016
6,Hi I hate putting effort in things.,1389921512,Slowbrofist,392,The fine brothers were once just two germs they grew with every subscriber but now they are regressing back as they lose them slowly,Mon Apr 29 16:46:30 +0000 2013,False,695032412594688002,766,,31510,392,7422,0,11,Wed Feb 03 23:53:34 +0000 2016
7,"Mastering Yubel Deck, one card at a time.",1039664588,YubelMastery,20,Do a Reaction to the Devpro List? *Stay back Fine Brothers*: https://t.co/PYwGIfhKJw via @YouTube,Thu Dec 27 13:43:47 +0000 2012,False,695032312392728578,32,,2752,20,0,0,0,Wed Feb 03 23:53:11 +0000 2016
8,You can call me Jazzy! I spend my life drawing terrible art and crying. Class of 2016. Black and Korean baby,3227973121,mittensleartist,247,"What if all this time, the Fine Brothers were literally hinting at their intentions? They're going to FINE you.",Wed May 27 06:21:26 +0000 2015,False,695032257786961921,113,"San Jose, CA",1683,247,3160,0,2,Wed Feb 03 23:52:57 +0000 2016
9,Hip hop head,3311810478,USNCDutch,469,RAPPER REACTS TO THE FINE BROTHERS | Dan Bull https://t.co/QK9dOgh1ED via @YouTube,Mon Aug 10 22:24:50 +0000 2015,False,695032243853496325,62,,2429,469,1115,0,3,Wed Feb 03 23:52:54 +0000 2016
10,'you're about as edgy as a satsuma',833592612,G0th_Detectives,2441,RT @BryOnTour: A woman just fell on the street opposite me and I tried to react but I couldn't because the Fine Brothers weren't there to l…,Wed Sep 19 15:43:13 +0000 2012,False,695032190028111872,2907,-I'm engaged to this girl now-,38399,2441,11168,569,7,Wed Feb 03 23:52:41 +0000 2016
11,"Hello, so nice to meet you! Please visit us at http://t.co/por4F654, http://t.co/wEwOJI2n and http://t.co/UBqxh1Fv! Thank you!
carolyn & Bootsie",40160595,carolyn660,17353,"RT @MPElliottArt: New painting Dad always said, ""If you get scared, hold my hand"" https://t.co/vFUjezrlm9 #Brothers #NorthernArt #RT https:…",Fri May 15 03:00:22 +0000 2009,False,695031964005302274,18948,Texas,237403,17353,3085,9,753,Wed Feb 03 23:51:47 +0000 2016
12,"love drawing & videogames, videogame reviewer and self proclaimed mad scientist, Owner of Anime Courtyard
contact: mariosalcedo@animecourtyard.com",22221548,Karmaquarius,460,We REACT™ to the Fine Brothers https://t.co/wyosjx5bok via @YouTube,Sat Feb 28 02:52:35 +0000 2009,False,695031816391041030,376,"Guadalajara, Mexico",12366,460,2357,0,19,Wed Feb 03 23:51:12 +0000 2016
13,140 characters? Explain myself in 140 characters? Seriously?,147145367,Garythegrump,325,@NicTrades I know it's no consolation but that's a fine age. We had two marmalade brothers that only made just over 10 each. Fond memories.,Sun May 23 09:44:02 +0000 2010,False,695031757180133377,248,"Er, wait, hang on... I know it",9260,325,670,0,4,Wed Feb 03 23:50:58 +0000 2016
14,"videogames are cool, I guess???",1942235185,saladbound,485,RT @BRAIX3N: End of Fine Brothers #UnsubFineBros https://t.co/7EmXRQ2L24,Sun Oct 06 22:25:45 +0000 2013,False,695031518658445312,763,shadow moses,64492,485,32021,12,25,Wed Feb 03 23:50:01 +0000 2016
15,Hallowed are the Ori,187970210,Orici_Adria,1376,We REACT™ to the Fine Brothers https://t.co/zIJ214D4J0 via @YouTube #UnSubfinebros,Tue Sep 07 16:22:51 +0000 2010,False,695031259689545728,350,Origin,8137,1376,9733,0,13,Wed Feb 03 23:49:00 +0000 2016
16,"Digital native, gamer, MUFC fanatic, proud Dad. #CMO @Halfbrick. Formerly @EA_Australia @msau @americanexpress. Member @Reef_Alliance.Tweets are my own",23734816,nicorn7,1850,"Guess its ""fine"" to react to stuff now.... https://t.co/FDShJwJS57",Wed Mar 11 07:23:06 +0000 2009,False,695031074238300161,1467,"Sydney, Australia",11836,1850,490,0,65,Wed Feb 03 23:48:15 +0000 2016
17,"I specialize in finding reputable, current research. Licensed Paralegal. Twitter http://t.co/t0TfCr5drv",542792728,ktanimara,10411,"RT @MPElliottArt: New painting Dad always said, ""If you get scared, hold my hand"" https://t.co/vFUjezrlm9 #Brothers #NorthernArt #RT https:…",Sun Apr 01 19:26:12 +0000 2012,False,695030939064233986,10746,Canada,104438,10411,52241,9,989,Wed Feb 03 23:47:43 +0000 2016
18,"Watercolor, Oil, and Pastel Artist specializing in scenes from Colorado and beyond. #landscapeart #fineart #pastelpainting #watercolor #oilpainting #pleinair",2354236884,mbenkeart,1699,"RT @MPElliottArt: New painting Dad always said, ""If you get scared, hold my hand"" https://t.co/vFUjezrlm9 #Brothers #NorthernArt #RT https:…",Fri Feb 21 04:41:36 +0000 2014,False,695030830255570945,1425,"Loveland, CO",2544,1699,691,9,60,Wed Feb 03 23:47:17 +0000 2016
19,rattpack,1350419426,DiamondSwishers,302,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sat Apr 13 22:47:34 +0000 2013,False,695030384480747520,403,"konoha, tx",47694,302,22199,3443,1,Wed Feb 03 23:45:31 +0000 2016
20,Eh,2304077275,HudsonTheNerd,35,"RT @MunifiS: The Fine Brothers apologized, hoping to get some subscribers back https://t.co/BBUNeNvdUX",Wed Jan 22 02:39:13 +0000 2014,False,695030377799352325,4,,58,35,1748,778,0,Wed Feb 03 23:45:29 +0000 2016
21,"Internet ninja. Pop culture evangelist. Passionate alcohol enthusiast. Tv geek. Hardcore gamer.
 #YouTube",3989088825,ifanReal_Liams,3872,"The Fine Brothers' reaction video controversy, explained... #youtube https://t.co/TVVbSuh85F https://t.co/kqucLOk1Ae",Sun Oct 18 19:24:39 +0000 2015,False,695030188204097536,1285,,3629,3872,387,0,23,Wed Feb 03 23:44:44 +0000 2016
22,I'm only on here to follow YouTube celebs,18886111,andtherainstops,83,RT @TheRobDyke: It is done. The Fine Bros have given up this shady road. React World is no more. This is a win for everyone. https://t.co/A…,Mon Jan 12 01:03:39 +0000 2009,False,695030159292788736,29,"Perth, Australia",655,83,1703,135,0,Wed Feb 03 23:44:37 +0000 2016
23,,17965562,derekjd,585,Merlin Reacts to The Fine Brothers https://t.co/jmhLLn3cOl via @YouTube,Mon Dec 08 16:17:35 +0000 2008,False,695030101386387457,113,"42.987715,-78.908658",3948,585,167,0,11,Wed Feb 03 23:44:23 +0000 2016
